Id,breed,recipe_name,cooking_method,ingredients[0].name,ingredients[1].name,ingredients[2].name,ingredients[3].name,ingredients[4].name,ingredients[5].name
88,Tangkhul Hui,Soya Chunks Stew with Ridge Gourd,Stir-fried,Soya Chunks,Ridge Gourd,Watermelon,Rice,Ghee,
89,Bully Kutta,Lentils Stew with Watermelon,Pressure-cooked,Lentils,Watermelon,Bitter Gourd,Rice,,
90,Mudhol Hound,Soya Chunks Paratha with Okra,Stir-fried,Soya Chunks,Okra,Ghee,Rice,Apple,Green Beans
91,Tibetan Mastiff,Papaya Stew with Goat,Slow-cooked,Papaya,Goat,Ragi,Coconut Oil,Bottle Gourd,
92,Vikhan Sheepdog,Banana Mash with Pumpkin,Slow-cooked,Banana,Pumpkin,Soya Chunks,Okra,,
93,Rajapalayam,Paneer Curry with Turmeric,Steamed,Paneer,Turmeric,Oats,Spinach,Apple,
94,Bangkaew,Pomegranate Stew with Bajra,Raw,Pomegranate,Bajra,Ghee,Bottle Gourd,Chicken,
95,Indian Bicolor Cat,Jowar Curry with Curd,Slow-cooked,Jowar,Curd,Bitter Gourd,Lentils,Okra,Watermelon
96,Bangkaew,Bitter Gourd Stew with Pumpkin,Steamed,Bitter Gourd,Pumpkin,Lamb,,,
97,Kaikadi,Carrots Stew with Fish,Steamed,Carrots,Fish,Ragi,Pomegranate,Fenugreek Seeds,Bitter Gourd
98,Jonangi,Carrots Pulao with Wheat,Steamed,Carrots,Wheat,Mango,Flaxseed,Lentils,
99,Kombai,Papaya Mash with Paneer,Stir-fried,Papaya,Paneer,Bottle Gourd,Bajra,,
100,Tibetan Mastiff,Chicken Paratha with Rice,Steamed,Chicken,Rice,Flaxseed,Peas,Pomegranate,Ridge Gourd
,Kombai,Turmeric Chunks with Apple,Boiled,Turmeric,Apple,Soya Chunks,Spinach,Oats,
,Tibetan Mastiff,Eggs Stew with Wheat,Steamed,Eggs,Wheat,Spinach,Apple,,
,Kombai,Carrots Mash with Jowar,Stir-fried,Carrots,Jowar,Turmeric,Lentils,Carrots,Pomegranate
,Indian Pariah Dog,Green Beans Chunks with Paneer,Raw,Green Beans,Paneer,Bajra,Papaya,Coconut Oil,
,Kaikadi,Papaya Mash with Spinach,Slow-cooked,Papaya,Spinach,Jowar,Chicken,,
,Kombai,Peas Chunks with Watermelon,Baked,Peas,Watermelon,Soya Chunks,Wheat,,
,Bangkaew,Carrots Stew with Lentils,Boiled,Carrots,Lentils,Watermelon,Coconut Oil,Wheat,
,Vikhan Sheepdog,Pomegranate Mash with Goat,Raw,Pomegranate,Goat,Oats,Bitter Gourd,,
,Tibetan Mastiff,Fenugreek Seeds Paratha with Papaya,Baked,Fenugreek Seeds,Papaya,Carrots,Goat,Oats,
,Indian Pariah Dog,Ragi Khichdi with Bitter Gourd,Boiled,Ragi,Bitter Gourd,Coconut Oil,Eggs,Cucumber,
,Tibetan Mastiff,Jowar Curry with Ridge Gourd,Steamed,Jowar,Ridge Gourd,Paneer,Papaya,Carrots,Turmeric
,Jonangi,Carrots Chunks with Flaxseed,Slow-cooked,Carrots,Flaxseed,Paneer,Watermelon,Bajra,
,Mudhol Hound,Bottle Gourd Mash with Jowar,Raw,Bottle Gourd,Jowar,Goat,,,
,Kombai,Fish Khichdi with Okra,Stir-fried,Fish,Okra,Pumpkin,,,
,Indian Pariah Dog,Soya Chunks Mash with Pumpkin,Slow-cooked,Soya Chunks,Pumpkin,Green Beans,Banana,,
,Kaikadi,Jowar Pulao with Eggs,Boiled,Jowar,Eggs,Apple,Okra,,
,Chippiparai,Ridge Gourd Mash with Ragi,Steamed,Ridge Gourd,Ragi,Eggs,,,
,Tibetan Mastiff,Chicken Mash with Oats,Steamed,Chicken,Oats,Spinach,,,
,Himalayan Cat,Wheat Curry with Bottle Gourd,Steamed,Wheat,Bottle Gourd,Chicken,,,
,Pandikona,Carrots Khichdi with Lentils,Boiled,Carrots,Lentils,Oats,,,
,Bully Kutta,Goat Curry with Green Beans,Steamed,Goat,Green Beans,Spinach,Apple,Curd,Bajra
,Kanni,Spinach Curry with Apple,Raw,Spinach,Apple,Chicken,Jowar,,
,Kanni,Paneer Curry with Ragi,Raw,Paneer,Ragi,Bottle Gourd,,,
,Tibetan Mastiff,Paneer Stew with Ghee,Baked,Paneer,Ghee,Apple,Carrots,Rice,Green Beans
,Pandikona,Cucumber Mash with Soya Chunks,Steamed,Cucumber,Soya Chunks,Flaxseed,Spinach,Peas,Bajra
,Kaikadi,Goat Paratha with Jowar,Baked,Goat,Jowar,Carrots,,,
,Pandikona,Chicken Mash with Bottle Gourd,Pressure-cooked,Chicken,Bottle Gourd,Cucumber,Oats,,
,Kaikadi,Chicken Chunks with Cucumber,Baked,Chicken,Cucumber,Green Beans,Pumpkin,Coconut Oil,
,Indian Bicolor Cat,Banana Pulao with Pumpkin,Slow-cooked,Banana,Pumpkin,Carrots,Soya Chunks,,
,Vikhan Sheepdog,Cucumber Chunks with Coconut Oil,Baked,Cucumber,Coconut Oil,Wheat,Spinach,Bottle Gourd,Soya Chunks
,Indian Pariah Dog,Soya Chunks Mash with Bitter Gourd,Stir-fried,Soya Chunks,Bitter Gourd,Wheat,,,
,Chippiparai,Lentils Curry with Okra,Pressure-cooked,Lentils,Okra,Apple,Sweet Potato,Coconut Oil,
,Pandikona,Mango Pulao with Wheat,Baked,Mango,Wheat,Turmeric,Soya Chunks,Peas,Bottle Gourd
,Kaikadi,Sweet Potato Stew with Apple,Steamed,Sweet Potato,Apple,Lamb,Fenugreek Seeds,Peas,
,Tibetan Mastiff,Fenugreek Seeds Paratha with Lamb,Baked,Fenugreek Seeds,Lamb,Ragi,Carrots,Apple,
,Tibetan Mastiff,Watermelon Chunks with Coconut Oil,Steamed,Watermelon,Coconut Oil,Fish,Jowar,Peas,Spinach
,Vikhan Sheepdog,Eggs Mash with Turmeric,Boiled,Eggs,Turmeric,Sweet Potato,Green Beans,Mango,
,Jonangi,Jowar Curry with Green Beans,Steamed,Jowar,Green Beans,Lamb,Mango,,
,Kaikadi,Wheat Paratha with Curd,Stir-fried,Wheat,Curd,Okra,Watermelon,Lentils,
,Gaddi Kutta,Okra Stew with Jowar,Pressure-cooked,Okra,Jowar,Pomegranate,Fish,,
,Mudhol Hound,Pumpkin Khichdi with Banana,Raw,Pumpkin,Banana,Lentils,Peas,,
,Himalayan Cat,Green Beans Khichdi with Pumpkin,Stir-fried,Green Beans,Pumpkin,Soya Chunks,Pomegranate,Green Beans,Turmeric
,Tangkhul Hui,Watermelon Paratha with Wheat,Slow-cooked,Watermelon,Wheat,Soya Chunks,Carrots,,
,Tangkhul Hui,Carrots Chunks with Rice,Raw,Carrots,Rice,Paneer,,,
,Rajapalayam,Sweet Potato Chunks with Green Beans,Slow-cooked,Sweet Potato,Green Beans,Eggs,,,
,Chippiparai,Paneer Khichdi with Bottle Gourd,Slow-cooked,Paneer,Bottle Gourd,Ragi,,,
,Kombai,Spinach Pulao with Eggs,Boiled,Spinach,Eggs,Rice,,,
,Jonangi,Ragi Paratha with Pomegranate,Pressure-cooked,Ragi,Pomegranate,Lentils,Green Beans,,
,Himalayan Cat,Mango Stew with Lentils,Steamed,Mango,Lentils,Rice,Curd,Peas,Ridge Gourd
,Kaikadi,Apple Mash with Ghee,Steamed,Apple,Ghee,Carrots,Paneer,Oats,Carrots
,Rampur Greyhound,Soya Chunks Pulao with Cucumber,Raw,Soya Chunks,Cucumber,Bitter Gourd,Bajra,,
,Indian Spitz,Carrots Chunks with Green Beans,Raw,Carrots,Green Beans,Ragi,Soya Chunks,Fenugreek Seeds,Cucumber
,Himalayan Cat,Bajra Mash with Coconut Oil,Baked,Bajra,Coconut Oil,Chicken,Ridge Gourd,Bitter Gourd,Papaya
,Indian Pariah Dog,Paneer Chunks with Spinach,Stir-fried,Paneer,Spinach,Ragi,,,
,Rampur Greyhound,Wheat Chunks with Bottle Gourd,Slow-cooked,Wheat,Bottle Gourd,Curd,Okra,Paneer,Pomegranate
,Mudhol Hound,Soya Chunks Stew with Sweet Potato,Raw,Soya Chunks,Sweet Potato,Ridge Gourd,,,
,Kanni,Cucumber Paratha with Green Beans,Raw,Cucumber,Green Beans,Oats,Lamb,,
,Rampur Greyhound,Rice Chunks with Bitter Gourd,Slow-cooked,Rice,Bitter Gourd,Lentils,Pomegranate,,
,Kaikadi,Ragi Mash with Lamb,Boiled,Ragi,Lamb,Bottle Gourd,,,
,Mudhol Hound,Soya Chunks Khichdi with Spinach,Baked,Soya Chunks,Spinach,Mango,Bajra,,
,Himalayan Cat,Bajra Pulao with Papaya,Pressure-cooked,Bajra,Papaya,Goat,Ridge Gourd,,
,Tibetan Mastiff,Pumpkin Khichdi with Carrots,Pressure-cooked,Pumpkin,Carrots,Banana,Paneer,,
,Bangkaew,Spinach Paratha with Lentils,Boiled,Spinach,Lentils,Oats,,,
,Chippiparai,Jowar Stew with Ridge Gourd,Boiled,Jowar,Ridge Gourd,Papaya,Lamb,,
,Bakharwal Dog,Bottle Gourd Chunks with Goat,Raw,Bottle Gourd,Goat,Pumpkin,Coconut Oil,Cucumber,
,Mudhol Hound,Mango Mash with Ridge Gourd,Slow-cooked,Mango,Ridge Gourd,Curd,Eggs,Pumpkin,Ridge Gourd
,Indian Spitz,Okra Mash with Bottle Gourd,Pressure-cooked,Okra,Bottle Gourd,Sweet Potato,Apple,Coconut Oil,Goat
,Bakharwal Dog,Ghee Chunks with Eggs,Pressure-cooked,Ghee,Eggs,Green Beans,Ragi,Watermelon,
,Indian Spitz,Banana Pulao with Okra,Stir-fried,Banana,Okra,Oats,Chicken,,
,Indian Pariah Dog,Eggs Stew with Ridge Gourd,Boiled,Eggs,Ridge Gourd,Oats,Curd,Pomegranate,
,Indian Bicolor Cat,Peas Stew with Bajra,Stir-fried,Peas,Bajra,Cucumber,Goat,,
,Chippiparai,Fish Chunks with Spinach,Baked,Fish,Spinach,Ghee,Pumpkin,Banana,
,Chippiparai,Bottle Gourd Khichdi with Fish,Stir-fried,Bottle Gourd,Fish,Spinach,Watermelon,Jowar,Ghee
,Rampur Greyhound,Spinach Chunks with Apple,Slow-cooked,Spinach,Apple,Bajra,Paneer,,
,Bakharwal Dog,Eggs Mash with Mango,Steamed,Eggs,Mango,Turmeric,Sweet Potato,Carrots,
,Rampur Greyhound,Lentils Mash with Bajra,Stir-fried,Lentils,Bajra,Bottle Gourd,Pomegranate,,
,Chippiparai,Bottle Gourd Khichdi with Sweet Potato,Boiled,Bottle Gourd,Sweet Potato,Fish,,,
,Indian Pariah Dog,Bajra Mash with Coconut Oil,Baked,Bajra,Coconut Oil,Carrots,Cucumber,Eggs,
,Indian Pariah Dog,Bottle Gourd Stew with Ridge Gourd,Boiled,Bottle Gourd,Ridge Gourd,Turmeric,Ragi,Lentils,Cucumber
,Mudhol Hound,Bitter Gourd Pulao with Eggs,Raw,Bitter Gourd,Eggs,Coconut Oil,Okra,Oats,Watermelon
,Rajapalayam,Ghee Paratha with Carrots,Steamed,Ghee,Carrots,Pumpkin,Watermelon,Fish,
,Tangkhul Hui,Peas Khichdi with Watermelon,Slow-cooked,Peas,Watermelon,Chicken,Bajra,,
,Pandikona,Soya Chunks Pulao with Rice,Pressure-cooked,Soya Chunks,Rice,Ghee,Pomegranate,Bitter Gourd,
,Himalayan Cat,Turmeric Stew with Okra,Slow-cooked,Turmeric,Okra,Mango,Fish,Ragi,
,Rampur Greyhound,Pumpkin Pulao with Fish,Pressure-cooked,Pumpkin,Fish,Bottle Gourd,,,
,Pandikona,Carrots Stew with Goat,Steamed,Carrots,Goat,Wheat,,,
,Bully Kutta,Oats Stew with Okra,Baked,Oats,Okra,Fish,Watermelon,,
,Indian Spitz,Apple Chunks with Fenugreek Seeds,Baked,Apple,Fenugreek Seeds,Rice,Okra,Goat,
,Tibetan Mastiff,Ridge Gourd Chunks with Pumpkin,Raw,Ridge Gourd,Pumpkin,Fish,,,
,Tibetan Mastiff,Spinach Paratha with Papaya,Raw,Spinach,Papaya,Ghee,Soya Chunks,Jowar,
,Kombai,Ridge Gourd Curry with Watermelon,Baked,Ridge Gourd,Watermelon,Sweet Potato,Curd,Soya Chunks,Bottle Gourd
,Rampur Greyhound,Green Beans Curry with Chicken,Stir-fried,Green Beans,Chicken,Sweet Potato,,,
,Bakharwal Dog,Bottle Gourd Curry with Fish,Stir-fried,Bottle Gourd,Fish,Pumpkin,,,
,Pandikona,Jowar Chunks with Peas,Raw,Jowar,Peas,Papaya,Fish,,
,Mudhol Hound,Okra Pulao with Bajra,Raw,Okra,Bajra,Pomegranate,Eggs,,
,Indian Bicolor Cat,Lamb Khichdi with Rice,Raw,Lamb,Rice,Bitter Gourd,,,
,Kombai,Pomegranate Mash with Okra,Raw,Pomegranate,Okra,Green Beans,Coconut Oil,Soya Chunks,Ragi
,Pandikona,Paneer Chunks with Pomegranate,Boiled,Paneer,Pomegranate,Oats,Ridge Gourd,,
,Himalayan Cat,Bitter Gourd Khichdi with Fish,Slow-cooked,Bitter Gourd,Fish,Oats,,,
,Kaikadi,Soya Chunks Pulao with Carrots,Stir-fried,Soya Chunks,Carrots,Coconut Oil,Pumpkin,Banana,Peas
,Kanni,Eggs Chunks with Watermelon,Baked,Eggs,Watermelon,Green Beans,Ragi,,
,Kombai,Banana Mash with Bottle Gourd,Steamed,Banana,Bottle Gourd,Chicken,Rice,Fenugreek Seeds,
,Vikhan Sheepdog,Sweet Potato Paratha with Mango,Steamed,Sweet Potato,Mango,Bottle Gourd,Paneer,,
,Himalayan Cat,Wheat Curry with Apple,Raw,Wheat,Apple,Okra,Turmeric,Lamb,
,Himalayan Cat,Lentils Stew with Sweet Potato,Raw,Lentils,Sweet Potato,Banana,Spinach,,
,Himalayan Cat,Coconut Oil Paratha with Bajra,Pressure-cooked,Coconut Oil,Bajra,Apple,Soya Chunks,Carrots,
,Rampur Greyhound,Bottle Gourd Pulao with Rice,Raw,Bottle Gourd,Rice,Paneer,Peas,Fenugreek Seeds,Pomegranate
,Vikhan Sheepdog,Peas Pulao with Flaxseed,Steamed,Peas,Flaxseed,Oats,Chicken,Papaya,
,Rampur Greyhound,Green Beans Stew with Spinach,Pressure-cooked,Green Beans,Spinach,Banana,Curd,Bajra,Goat
,Kombai,Fish Pulao with Bajra,Baked,Fish,Bajra,Spinach,,,
,Kanni,Okra Stew with Okra,Stir-fried,Okra,Okra,Curd,Fish,Watermelon,Jowar
,Rampur Greyhound,Bottle Gourd Khichdi with Sweet Potato,Stir-fried,Bottle Gourd,Sweet Potato,Chicken,,,
,Kombai,Pumpkin Khichdi with Bitter Gourd,Steamed,Pumpkin,Bitter Gourd,Chicken,Mango,,
,Vikhan Sheepdog,Bottle Gourd Mash with Eggs,Slow-cooked,Bottle Gourd,Eggs,Ragi,Mango,,
,Rampur Greyhound,Rice Curry with Goat,Stir-fried,Rice,Goat,Bottle Gourd,Flaxseed,Mango,
,Bully Kutta,Pumpkin Stew with Bitter Gourd,Slow-cooked,Pumpkin,Bitter Gourd,Chicken,,,
,Indian Pariah Dog,Banana Khichdi with Rice,Stir-fried,Banana,Rice,Goat,Okra,,
,Jonangi,Carrots Khichdi with Ragi,Slow-cooked,Carrots,Ragi,Eggs,Apple,,
,Jonangi,Wheat Khichdi with Bottle Gourd,Stir-fried,Wheat,Bottle Gourd,Cucumber,Eggs,,
,Gaddi Kutta,Sweet Potato Stew with Ridge Gourd,Boiled,Sweet Potato,Ridge Gourd,Cucumber,Lamb,Coconut Oil,
,Vikhan Sheepdog,Bajra Paratha with Ridge Gourd,Raw,Bajra,Ridge Gourd,Goat,Mango,,
,Tangkhul Hui,Chicken Mash with Green Beans,Stir-fried,Chicken,Green Beans,Turmeric,Pomegranate,Pumpkin,
,Kaikadi,Ragi Mash with Carrots,Raw,Ragi,Carrots,Eggs,,,
,Indian Pariah Dog,Carrots Mash with Ghee,Raw,Carrots,Ghee,Lentils,Bajra,Pomegranate,Carrots
,Indian Bicolor Cat,Fish Chunks with Peas,Steamed,Fish,Peas,Ghee,Oats,Mango,
,Jonangi,Rice Curry with Goat,Baked,Rice,Goat,Mango,Bottle Gourd,,
,Tibetan Mastiff,Eggs Paratha with Ghee,Steamed,Eggs,Ghee,Carrots,Papaya,Wheat,
,Rajapalayam,Chicken Pulao with Rice,Pressure-cooked,Chicken,Rice,Banana,Spinach,,
,Bakharwal Dog,Sweet Potato Pulao with Ridge Gourd,Baked,Sweet Potato,Ridge Gourd,Soya Chunks,,,
,Bakharwal Dog,Goat Curry with Oats,Steamed,Goat,Oats,Ridge Gourd,,,
,Bakharwal Dog,Ragi Pulao with Soya Chunks,Steamed,Ragi,Soya Chunks,Okra,Pomegranate,Flaxseed,
,Tibetan Mastiff,Okra Khichdi with Bajra,Raw,Okra,Bajra,Pomegranate,Flaxseed,Spinach,Lentils
,Pandikona,Soya Chunks Stew with Spinach,Pressure-cooked,Soya Chunks,Spinach,Jowar,,,
,Rampur Greyhound,Banana Stew with Spinach,Slow-cooked,Banana,Spinach,Lentils,Spinach,Coconut Oil,Oats
,Rampur Greyhound,Rice Stew with Flaxseed,Pressure-cooked,Rice,Flaxseed,Apple,Fish,Carrots,
,Kaikadi,Peas Pulao with Soya Chunks,Pressure-cooked,Peas,Soya Chunks,Sweet Potato,Mango,,
,Bangkaew,Carrots Chunks with Ragi,Pressure-cooked,Carrots,Ragi,Lentils,Carrots,Fenugreek Seeds,Watermelon
